,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
353029,192.168.10.3-192.168.10.16-88-38995-17,192.168.10.16,38995,192.168.10.3,88,17,4/7/2017 8:58,354,2,2,2794,2604.0,1397,1397,1397.0,0.0,1302,1302,1302.0,0.0,15200000.0,11299.43503,118.0,197.4537921,346.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,5649.717514,5649.717514,1302,1397,1359.0,52.03364296,2707.5,0,0,0,0,0,0,0,0,1,1698.75,1397.0,1302.0,64,0,0,0,0,0,0,2,2794,2,2604,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
332894,192.168.10.3-192.168.10.5-53-57212-17,192.168.10.5,57212,192.168.10.3,53,17,4/7/2017 2:40,133996,4,2,152,228.0,38,38,38.0,0.0,114,114,114.0,0.0,2835.905549,44.77745604,26799.2,41097.91934,93176.0,3.0,93183.0,31061.0,53793.16796,93176.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,80,64,29.85163736,14.92581868,38,114,59.71428571,37.08420277,1375.238095,0,0,0,0,0,0,0,0,0,69.66666667,38.0,114.0,80,0,0,0,0,0,0,4,152,2,228,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
374298,192.168.10.3-192.168.10.25-389-63301-6,192.168.10.25,63301,192.168.10.3,389,6,4/7/2017 4:20,93755526,22,13,2986,6344.0,1305,0,135.7272727,379.2933507,2910,0,488.0,898.1484658,99.51413424,0.373311329,2757515.471,16100000.0,93700000.0,2.0,93800000.0,4464543.714,20500000.0,93700000.0,2.0,93800000.0,7812957.0,27100000.0,93700000.0,3.0,0,0,0,0,728,408,0.234652835,0.138658494,0,2910,259.1666667,627.564658,393837.4,0,0,0,1,0,0,0,0,0,266.5714286,135.7272727,488.0,728,0,0,0,0,0,0,22,2986,13,6344,65535,0,10,32,22247.0,0.0,22247.0,22247.0,93700000.0,0.0,93700000.0,93700000.0,BENIGN
110172,192.168.10.3-192.168.10.9-53-56570-17,192.168.10.9,56570,192.168.10.3,53,17,4/7/2017 11:10,167,2,2,102,134.0,51,51,51.0,0.0,67,67,67.0,0.0,1413173.653,23952.09581,55.66666667,90.35670054,160.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,11976.0479,11976.0479,51,67,57.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,71.75,51.0,67.0,64,0,0,0,0,0,0,2,102,2,134,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
50221,172.16.0.1-192.168.10.50-54872-21-6,172.16.0.1,54872,192.168.10.50,21,6,4/7/2017 9:40,8897291,9,15,109,188.0,25,0,12.11111111,9.854496999,34,0,12.53333333,14.54975045,33.38094708,2.697450269,386838.7391,996349.0799,3046739.0,3.0,5984084.0,748010.5,1367926.043,3089857.0,49.0,8897204.0,635514.5714,1228738.836,3046739.0,3.0,0,0,0,0,296,488,1.011543851,1.685906418,0,34,11.88,12.72896958,162.0266667,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
444830,192.168.10.3-192.168.10.17-53-47185-17,192.168.10.17,47185,192.168.10.3,53,17,4/7/2017 3:16,84800,2,2,60,160.0,30,30,30.0,0.0,80,80,80.0,0.0,2594.339623,47.16981132,28266.66667,48915.14026,84749.0,4.0,47.0,47.0,0.0,47.0,47.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,23.58490566,23.58490566,30,80,50.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,62.5,30.0,80.0,64,0,0,0,0,0,0,2,60,2,160,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
393779,192.168.10.3-192.168.10.14-53-59830-17,192.168.10.14,59830,192.168.10.3,53,17,4/7/2017 3:26,171,2,2,78,110.0,39,39,39.0,0.0,55,55,55.0,0.0,1099415.205,23391.81287,57.0,59.01694672,120.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,40,40,11695.90643,11695.90643,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39.0,55.0,40,0,0,0,0,0,0,2,78,2,110,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
386374,192.168.10.3-192.168.10.19-53-60057-17,192.168.10.19,60057,192.168.10.3,53,17,4/7/2017 4:38,266,2,2,72,304.0,36,36,36.0,0.0,152,152,152.0,0.0,1413533.835,15037.59398,88.66666667,72.17571152,172.0,46.0,46.0,46.0,0.0,46.0,46.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,80,80,7518.796992,7518.796992,36,152,82.4,63.53581667,4036.8,0,0,0,0,0,0,0,0,1,103.0,36.0,152.0,80,0,0,0,0,0,0,2,72,2,304,-1,-1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
387821,192.168.10.3-192.168.10.5-53-57127-17,192.168.10.5,57127,192.168.10.3,53,17,4/7/2017 9:34,210,2,2,84,186.0,42,42,42.0,0.0,93,93,93.0,0.0,1285714.286,19047.61905,70.0,79.32212806,158.0,4.0,4.0,4.0,0.0,4.0,4.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,40,40,9523.809524,9523.809524,42,93,62.4,27.93385043,780.3,0,0,0,0,0,0,0,0,1,78.0,42.0,93.0,40,0,0,0,0,0,0,2,84,2,186,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
284131,192.168.10.3-192.168.10.5-389-56896-6,192.168.10.3,389,192.168.10.5,56896,6,4/7/2017 12:52,136,3,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22058.82353,68.0,94.75230868,135.0,1.0,136.0,68.0,94.75230868,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,22058.82353,0.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,0,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
